id,original_prompt,generated_text,p_value,z_score
0,family mormon have never tried explain them they still stare puzzled from time time like some kind strange creature nonetheless they have come admire for the patience calmness equanimity acceptance and compassion have developed all the things buddhism teaches,"family mormon have never tried explain them they still stare puzzled from time time like some kind strange creature nonetheless they have come admire for the patience calmness equanimity acceptance and compassion have developed all the things buddhism teaches them to be the best on, they are the greatest in their own right.
I have never seen these kids have SO much patience.  What does that even mean?",0.6753370500525067,-0.4546988617231416
1,buddhism has very much lot compatible with christianity especially considering that sin and suffering are almost the same thing suffering caused wanting things shouldn want going about getting things the wrong way christian this would mean wanting things that don coincide with god will and wanting things that coincide but without the aid jesus buddhism could also seen proof god all mighty will and omnipotence certainly christians are lucky have one such christ there side but what about everyone else well many christians believe god grace salvation and buddhism god way showing grace upon others would also help study the things jesus said and see how buddha has made similar claims such rich man getting into heaven joke basically advocating that should rid ourselves material possessions fact distinctly remembered jesus making someone cry because that someone asked what achieve salvation and jesus replied with live like buddhist very very roughly translated also point out that buddha rarely spoke anything about god theory personally because knew well enough leave that jesus and mohamed who came later just remember conflict difference opinion but education can fun involving and enlightening easier teach something than prove right like intelligent design,buddhism has very much lot compatible with christianity especially considering that sin and suffering are almost the same thing suffering caused wanting things shouldn want going about getting things the wrong way christian this would mean wanting things that don coincide with god will and wanting things that coincide but without the aid jesus buddhism could also seen proof god all mighty will and omnipotence certainly christians are lucky have one such christ there side but what about everyone else well many christians believe god grace salvation and buddhism god way showing grace upon others would also help study the things jesus said and see how buddha has made similar claims such rich man getting into heaven joke basically advocating that should rid ourselves material possessions fact distinctly remembered jesus making someone cry because that someone asked what achieve salvation and jesus replied with live like buddhist very very roughly translated also point out that buddha rarely spoke anything about god theory personally because knew well enough leave that jesus only had a very very small part of it (perhaps 10%?) but if he did he was very very very very very very very very very very very very very very very very very very very very very very very very very very very very very,0.9998768986475173,-3.6661778755338323
2,seriously don say thing first all they won get its too complex explain normal people anyway and they are dogmatic then doesn matter what you say see mechante post and for any reason you decide later life move from buddhism and that doesn suit you identity though you still get keep all the wisdom then your family will treat you like you went through weird hippy phase for while there didncha and you never hear the end pro tip don put one these your wall jpg,"seriously don say thing first all they won get its too complex explain normal people anyway and they are dogmatic then doesn matter what you say see mechante post and for any reason you decide later life move from buddhism and that doesn suit you identity though you still get keep all the wisdom then your family will treat you like you went through weird hippy phase for while there didncha and you never hear the end pro tip don put one these your wall jpgs are always the best on the internet and it is better to make your own xD

I'm going to try to get a light hearted response and point out that I am a Buddhist but I believe it is a step in the right",0.42369482984335716,0.19245008972987526
3,for your own benefit you may want read living buddha living christ thich nhat hanh you might find any subsequent discussions with your loved ones easier you are able articulate some the parallels that exist between buddhism and christianity don surprised they react negatively for having lost you treat them with compassion and deserved understanding although they may indeed display signs being hurt your new path properly sharing with them way that may alleviate their fear something they may perceive wrong the very least alien their beliefs may help allowing them the long run accept although not necessarily agree with your decision regardless where they end you have make your own way,"for your own benefit you may want read living buddha living christ thich nhat hanh you might find any subsequent discussions with your loved ones easier you are able articulate some the parallels that exist between buddhism and christianity don surprised they react negatively for having lost you treat them with compassion and deserved understanding although they may indeed display signs being hurt your new path properly sharing with them way that may alleviate their fear something they may perceive wrong the very least alien their beliefs may help allowing them the long run accept although not necessarily agree with your decision regardless where they end you have make your own way to be with them better on, they are not as rich as you may think they are or as dissimilar to you as a result of these are very different and may differ so don’t worry about the fact that this is not a case",0.2829960740978937,0.5739640213948523
4,you should all sit down together and watch the simpsons episode where lisa becomes buddhist simpsons season episode she little faith then discuss,"you should all sit down together and watch the simpsons episode where lisa becomes buddhist simpsons season episode she little faith then discuss some more with the other simpsons episodes and then you can discuss and discuss how to do it
I'm going to try that.  Thanks",0.5,0.0
5,was teens when discovered zen meditation was then undiagnosed bpd being homeschooled and just gotten 56k modem with web connection where came across link zen meditation tried for couple weeks and the change was palpable felt the most profound sense peace ever felt grades immediately started going had more energy started martial arts just huge positive change all around parents asked something was wrong fundie parents when anything changes this was where naiveté kicked foolishly told them been trying meditation and really calmed down thought they happy that found something that helped but never forget what happened next mother affected this mockingly calm breathy voice she said you can pretend calm and happy all you want but without jesus you never content was that moment that any belief had christian faith all vanished completely realized that she had probably never been happy ever have never felt profoundly sorry for someone did for her that moment,was teens when discovered zen meditation was then undiagnosed bpd being homeschooled and just gotten 56k modem with web connection where came across link zen meditation tried for couple weeks and the change was palpable felt the most profound sense peace ever felt grades immediately started going had more energy started martial arts just huge positive change all around parents asked something was wrong fundie parents when anything changes this was where naiveté kicked foolishly told them been trying meditation and really calmed down thought they happy that found something that helped but never forget what happened next mother affected this mockingly calm breathy voice she said you can pretend calm and happy all you want but without jesus you never content was that moment that any belief had christian faith all vanished completely realized that she had probably never been happy ever have never felt profoundly sorry for someone did for her that moment was only a moment but on the day of this moment she was and I think that was the real point is that it had a profound impact on the way she felt and I think that was what was so important to me it was the moment that she,0.8030268771402088,-0.8524826841213414
6,there are two varieties christians dogmatic that dwell words and conservative that take heart the spirit the teachings hate oversimplify things but helps this understanding you are discussing with dogmatic religious people who live the letter the law will uphill battle wish you luck you are discussing with moderates exchange idea should come fairly easily comparing contrasting also discussing parallel teachings presented differently wouldn out the ordinary they may give you relevant spiritual advice even though you are not believer their religion,"there are two varieties christians dogmatic that dwell words and conservative that take heart the spirit the teachings hate oversimplify things but helps this understanding you are discussing with dogmatic religious people who live the letter the law will uphill battle wish you luck you are discussing with moderates exchange idea should come fairly easily comparing contrasting also discussing parallel teachings presented differently wouldn out the ordinary they may give you relevant spiritual advice even though you are not believer their religion is only one thing better on this site than others (e.g. christians are both realists and christians are both christians)

“There are two types of christians dogmatic that dwell words and conservative that take heart",0.056570004076003155,1.584236068762679
7,dont worry about trying explain yourself just meditate regularly and try hard you can more aware everything else will follow coming from someone who has been throught his situation welcome pms,"dont worry about trying explain yourself just meditate regularly and try hard you can more aware everything else will follow coming from someone who has been throught his situation welcome pms
I'm not sure if I should panic or not but I'll try to explain myself.
well if you are focussing on meditation then you’ll need to take a break from it.",0.7751541010155545,-0.7559289460184544
8,recently told family that buddhist live the bible belt this whole ordeal involved leaving the baptist church and everything been pretty rough but those who really care about have been open and accepting they seen the good has created life and relationships with others fact there are handful christians who have lovely conversations with and that truly respect someone else suggested living buddha living christ great one read about the important dialogue between buddhists and christians also welcome you message,"recently told family that buddhist live the bible belt this whole ordeal involved leaving the baptist church and everything been pretty rough but those who really care about have been open and accepting they seen the good has created life and relationships with others fact there are handful christians who have lovely conversations with and that truly respect someone else suggested living buddha living christ great one read about the important dialogue between buddhists and christians also welcome you message me if you have any questions, happy holidays

We are a group of about 50 or so people who are trying to make sense of these situations. We are open minded and have a lot of beliefs. We have a lot of friends and have",0.7686941634004874,-0.7345531603115876
9,unto others you would have them unto you would good start,"unto others you would have them unto you would good start some more.  better on, than on, (e.g. ""I can get them off if I want"")
I kinda like the idea of it being easier to get them off, but I'm not looking for money so I'm",0.08008196845089538,1.4045204148136883
10,first understand that you are not anyway control how they will react always find that any subject better understood first learning the vocabulary explain what the word buddha means most people believe buddhists praise worship and follow guy named buddha christians due jesus let them know that one could both buddhist and christian with conflict the teachings and the messages jesus are indeed buddhist philosophy jesus became enlightened buddha and realized that had become annointed being christ then continue with your practice and let them work out their own issues that advice all the best,first understand that you are not anyway control how they will react always find that any subject better understood first learning the vocabulary explain what the word buddha means most people believe buddhists praise worship and follow guy named buddha christians due jesus let them know that one could both buddhist and christian with conflict the teachings and the messages jesus are indeed buddhist philosophy jesus became enlightened buddha and realized that had become annointed being christ then continue with your practice and let them work out their own issues that advice all the best buddhist philosophy jesus has done this and taught all the best buddhist philosophy jesus is a teacher and therefore a teacher of buddhist philosophy jesus is a master of the arts and sciences and is not a researcher,0.9673218378465862,-1.8428129573995284
11,recently heard similar question where person asked they should introduce meditation his loved ones who had challenges coping with problems life the answer from the lama was quite interesting instead giving people advice one should focus his practice that way others will see the change and maybe even ask about personally think better keep yourself even though you must really excited about you can also keep dharma books around the house and sure people will pick them for quick browse when you are not looking learn bit about other people traditions well browsing through books they owned,recently heard similar question where person asked they should introduce meditation his loved ones who had challenges coping with problems life the answer from the lama was quite interesting instead giving people advice one should focus his practice that way others will see the change and maybe even ask about personally think better keep yourself even though you must really excited about you can also keep dharma books around the house and sure people will pick them for quick browse when you are not looking learn bit about other people traditions well browsing through books they owned some books they liked better on dharma books and read them while listening to some dharma books but not researching about other traditions or dharma books or dharma books you must also learn about other traditions but do not accept things that are not dharma,0.032545202128123035,1.8446367023775683
12,different times different cultures same point they were trying get across jesus said god has beginning nor end buddha said mind was never born and has never died just replace the word meditation with prayer and couting the breath with the name jesus and everyone happy,"different times different cultures same point they were trying get across jesus said god has beginning nor end buddha said mind was never born and has never died just replace the word meditation with prayer and couting the breath with the name jesus and everyone happy
I was just going on, like ""ha, God has beginning, but not end. It's not about end, it's about light.""
“There is nothing, nothing, nothing but light, it’s not even about",0.7162244916359481,-0.5716619504750294
13,does evil include the lady pai chunked,"does evil include the lady pai chunked out from the axe?      (and why would they do that? what gives?)
I have no idea.   There's a little cutout on the body that looks like a pai chunk.   It's",0.5602565166519274,-0.15161960871578067
