start,end,orig,replacement,mode,detail_mode,row_id,percent_used
50,57,provide,reduce,synonym,cluster_syn,0,10.0
109,117,services,applic,synonym,cluster_syn,0,10.0
135,140,shows,basics,synonym,cluster_syn,0,10.0
191,198,tablets,computers,synonym,cluster_syn,0,10.0
238,243,watch,shar,synonym,cluster_syn,0,10.0
300,303,bid,brom,synonym,cluster_syn,0,10.0
332,336,jobs,operations,synonym,cluster_syn,0,10.0
417,423,global,primary,synonym,cluster_syn,0,10.0
91,100,documents,checks,synonym,cluster_syn,1,10.0
253,260,instead,upon,synonym,cluster_syn,1,10.0
273,276,bid,brom,synonym,cluster_syn,1,10.0
307,316,challenge,competing,synonym,cluster_syn,1,10.0
333,340,entered,travels,synonym,cluster_syn,1,10.0
372,373,m,werner,synonym,cluster_syn,1,10.0
383,387,debt,volunteer,synonym,cluster_syn,1,10.0
52,58,winner,heavyweight,synonym,cluster_syn,2,10.0
137,141,work,today,synonym,cluster_syn,2,10.0
171,175,will,time,synonym,cluster_syn,2,10.0
193,200,players,readers,synonym,cluster_syn,2,10.0
225,229,just,before,synonym,cluster_syn,2,10.0
253,257,also,look,synonym,cluster_syn,2,10.0
271,277,chance,plaza,synonym,cluster_syn,2,10.0
344,350,linked,controlled,synonym,cluster_syn,2,10.0
386,392,coming,behind,synonym,cluster_syn,2,10.0
29,34,extra,deep,synonym,cluster_syn,3,10.0
49,52,out,she,synonym,cluster_syn,3,10.0
91,98,against,among,synonym,cluster_syn,3,10.0
131,135,only,back,synonym,cluster_syn,3,10.0
210,218,bulletin,checklist,synonym,cluster_syn,3,10.0
291,298,members,merchants,synonym,cluster_syn,3,10.0
4,12,released,somewhere,synonym,cluster_syn,4,10.0
84,88,sell,merchandise,synonym,cluster_syn,4,10.0
123,138,internationally,thoroughly,synonym,cluster_syn,4,10.0
170,178,director,vice,synonym,cluster_syn,4,10.0
204,212,producer,newsletter,synonym,cluster_syn,4,10.0
7,15,confused,wounded,synonym,cluster_syn,5,10.0
63,68,plans,areas,synonym,cluster_syn,5,10.0
100,101,s,ill,synonym,cluster_syn,5,10.0
135,139,good,was,synonym,cluster_syn,5,10.0
183,188,going,along,synonym,cluster_syn,5,10.0
286,292,single,professional,synonym,cluster_syn,5,10.0
299,305,system,stor,synonym,cluster_syn,5,10.0
14,18,term,corner,synonym,cluster_syn,6,10.0
42,49,expires,signifies,synonym,cluster_syn,6,10.0
70,76,argued,awarded,synonym,cluster_syn,6,10.0
142,147,queen,women,synonym,cluster_syn,6,10.0
182,186,over,much,synonym,cluster_syn,6,10.0
244,247,end,cra,synonym,cluster_syn,6,10.0
21,24,job,walk,synonym,cluster_syn,7,10.0
93,96,now,say,synonym,cluster_syn,7,10.0
155,159,says,thinks,synonym,cluster_syn,7,10.0
203,209,finals,locker,synonym,cluster_syn,7,10.0
221,223,vs,wanna,synonym,cluster_syn,7,10.0
268,273,ahead,unable,synonym,cluster_syn,7,10.0
340,344,only,make,synonym,cluster_syn,7,10.0
50,56,public,mill,synonym,cluster_syn,8,10.0
95,99,well,there,synonym,cluster_syn,8,10.0
145,148,see,bal,synonym,cluster_syn,8,10.0
173,181,pleasure,guilt,synonym,cluster_syn,8,10.0
207,211,good,was,synonym,cluster_syn,8,10.0
251,255,wish,tell,synonym,cluster_syn,8,10.0
311,318,forward,stop,synonym,cluster_syn,8,10.0
78,83,watch,shar,synonym,cluster_syn,9,10.0
98,102,tell,happ,synonym,cluster_syn,9,10.0
194,199,would,therefore,synonym,cluster_syn,9,10.0
213,217,seem,appreciate,synonym,cluster_syn,9,10.0
223,227,grim,cann,synonym,cluster_syn,9,10.0
272,274,co,car,synonym,cluster_syn,9,10.0
317,324,friends,traditional,synonym,cluster_syn,9,10.0
48,56,continue,together,synonym,cluster_syn,10,10.0
79,84,peace,truth,synonym,cluster_syn,10,10.0
98,106,fighting,wisdom,synonym,cluster_syn,10,10.0
133,138,doing,anything,synonym,cluster_syn,10,10.0
281,285,into,offic,synonym,cluster_syn,10,10.0
338,344,police,festival,synonym,cluster_syn,10,10.0
373,377,told,held,synonym,cluster_syn,10,10.0
411,414,him,all,synonym,cluster_syn,10,10.0
0,4,some,first,synonym,cluster_syn,11,10.0
27,33,assets,parties,synonym,cluster_syn,11,10.0
168,175,article,data,synonym,cluster_syn,11,10.0
7,13,barrel,flesh,synonym,cluster_syn,12,10.0
93,98,after,without,synonym,cluster_syn,12,10.0
120,129,strongest,heaviest,synonym,cluster_syn,12,10.0
261,268,Average,Experience,synonym,cluster_syn,12,10.0
308,312,fell,seek,synonym,cluster_syn,12,10.0
358,364,equity,operating,synonym,cluster_syn,12,10.0
20,24,when,aga,synonym,cluster_syn,13,10.0
49,57,fighting,fantastic,synonym,cluster_syn,13,10.0
144,149,paces,footstep,synonym,wordnet_syn_fallback,13,10.0
167,174,poverty,sanctuary,synonym,cluster_syn,13,10.0
235,238,hit,cla,synonym,cluster_syn,13,10.0
280,286,people,white,synonym,cluster_syn,13,10.0
306,312,needed,thrown,synonym,cluster_syn,13,10.0
399,412,granddaughter,babe,synonym,cluster_syn,13,10.0
21,26,heart,band,synonym,cluster_syn,14,10.0
45,52,shaking,sliding,synonym,cluster_syn,14,10.0
151,154,dog,sing,synonym,cluster_syn,14,10.0
182,186,real,this,synonym,cluster_syn,14,10.0
251,255,just,before,synonym,cluster_syn,14,10.0
295,300,thing,leave,synonym,cluster_syn,14,10.0
321,326,means,charges,synonym,cluster_syn,14,10.0
0,5,could,neither,synonym,cluster_syn,15,10.0
20,26,source,news,synonym,cluster_syn,15,10.0
45,50,plans,areas,synonym,cluster_syn,15,10.0
141,145,main,west,synonym,cluster_syn,15,10.0
288,292,said,grad,synonym,cluster_syn,15,10.0
341,345,debt,volunteer,synonym,cluster_syn,15,10.0
70,75,woman,hers,synonym,cluster_syn,16,10.0
115,119,will,time,synonym,cluster_syn,16,10.0
284,288,need,two,synonym,cluster_syn,16,10.0
297,301,sure,less,synonym,cluster_syn,16,10.0
116,121,major,internet,synonym,cluster_syn,17,10.0
156,162,people,white,synonym,cluster_syn,17,10.0
198,204,really,him,synonym,cluster_syn,17,10.0
321,324,can,has,synonym,cluster_syn,17,10.0
51,58,closing,actual,synonym,cluster_syn,18,10.0
75,81,within,although,synonym,cluster_syn,18,10.0
115,121,forced,noticed,synonym,cluster_syn,18,10.0
180,184,plan,head,synonym,cluster_syn,18,10.0
313,317,said,grad,synonym,cluster_syn,18,10.0
366,371,among,within,synonym,cluster_syn,18,10.0
31,35,said,grad,synonym,cluster_syn,19,10.0
71,79,survival,crash,synonym,cluster_syn,19,10.0
181,186,group,story,synonym,cluster_syn,19,10.0
233,237,firm,bowl,synonym,cluster_syn,19,10.0
266,276,operations,worldwide,synonym,cluster_syn,19,10.0
8,13,money,rent,synonym,cluster_syn,20,10.0
116,122,sender,collector,synonym,cluster_syn,20,10.0
132,139,message,decision,synonym,cluster_syn,20,10.0
160,164,some,first,synonym,cluster_syn,20,10.0
217,222,check,good,synonym,cluster_syn,20,10.0
234,241,address,witness,synonym,cluster_syn,20,10.0
270,277,through,before,synonym,cluster_syn,20,10.0
283,287,Mail,Backup,synonym,cluster_syn,20,10.0
32,36,also,look,synonym,cluster_syn,21,10.0
76,83,service,proc,synonym,cluster_syn,21,10.0
132,142,concurrent,substitute,synonym,cluster_syn,21,10.0
169,172,day,always,synonym,cluster_syn,21,10.0
253,262,explosion,vengeance,synonym,cluster_syn,21,10.0
268,276,continue,together,synonym,cluster_syn,21,10.0
329,338,providers,consumers,synonym,cluster_syn,21,10.0
429,436,traffic,automotive,synonym,cluster_syn,21,10.0
38,42,work,today,synonym,cluster_syn,22,10.0
65,70,doing,anything,synonym,cluster_syn,22,10.0
131,138,support,school,synonym,cluster_syn,22,10.0
179,182,aim,pros,synonym,cluster_syn,22,10.0
189,194,proud,incredible,synonym,cluster_syn,22,10.0
244,251,succeed,behave,synonym,cluster_syn,22,10.0
6,9,out,new,synonym,cluster_syn,23,10.0
36,41,those,based,synonym,cluster_syn,23,10.0
87,92,going,along,synonym,cluster_syn,23,10.0
259,264,doing,anything,synonym,cluster_syn,23,10.0
294,298,very,here,synonym,cluster_syn,23,10.0
317,321,well,there,synonym,cluster_syn,23,10.0
361,365,came,hits,synonym,cluster_syn,23,10.0
385,391,better,medical,synonym,cluster_syn,23,10.0
0,8,speakers,teachers,synonym,cluster_syn,24,10.0
101,105,high,book,synonym,cluster_syn,24,10.0
222,229,honkers,nozzle,synonym,wordnet_syn_fallback,24,10.0
325,333,products,education,synonym,cluster_syn,24,10.0
355,362,colours,centre,synonym,cluster_syn,24,10.0
38,45,started,ibid,synonym,cluster_syn,25,10.0
144,147,too,who,synonym,cluster_syn,25,10.0
153,158,power,vol,synonym,cluster_syn,25,10.0
185,194,following,looking,synonym,cluster_syn,25,10.0
293,297,well,there,synonym,cluster_syn,25,10.0
333,342,backhands,backhandstroke,synonym,wordnet_syn_fallback,25,10.0
4,13,different,instead,synonym,cluster_syn,26,10.0
35,44,including,various,synonym,cluster_syn,26,10.0
140,146,called,forced,synonym,cluster_syn,26,10.0
170,173,all,two,synonym,cluster_syn,26,10.0
191,196,which,taking,synonym,cluster_syn,26,10.0
340,343,act,cap,synonym,cluster_syn,26,10.0
364,373,finishing,timing,synonym,cluster_syn,26,10.0
23,32,currently,same,synonym,cluster_syn,27,10.0
62,71,exclusive,character,synonym,cluster_syn,27,10.0
141,149,appeared,attempted,synonym,cluster_syn,27,10.0
173,178,venue,workout,synonym,cluster_syn,27,10.0
261,267,called,forced,synonym,cluster_syn,27,10.0
9,15,police,festival,synonym,cluster_syn,28,10.0
39,48,prosecute,presume,synonym,cluster_syn,28,10.0
156,161,after,like,synonym,cluster_syn,28,10.0
218,225,further,much,synonym,cluster_syn,28,10.0
271,276,civil,united,synonym,cluster_syn,28,10.0
358,369,criminalise,illegalise,synonym,wordnet_syn_fallback,28,10.0
393,399,passed,removed,synonym,cluster_syn,28,10.0
433,439,passed,removed,synonym,cluster_syn,28,10.0
4,6,ex,cap,synonym,cluster_syn,29,10.0
15,19,tate,fowler,synonym,cluster_syn,29,10.0
26,29,who,cap,synonym,cluster_syn,29,10.0
